instance_id,tag,v7_executable,v8_executable,v7_em,v8_em,v7_source,v8_source,v7_bucket,v8_bucket
bq025,both_miss,False,True,False,False,C0_anchor,C3_repaired,other_bad_request,exec_ok_but_rows_mismatch
bq115,both_miss,False,True,False,False,C0_anchor,C3_repaired,other_bad_request,exec_ok_but_rows_mismatch
bq030,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq018,both_miss,True,True,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq086,both_miss,False,True,False,False,C0_anchor,C0_direct,permission_denied,exec_ok_but_rows_mismatch
bq085,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,permission_denied,syntax_error
bq130,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,exec_ok_but_rows_mismatch
bq087,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,function_signature,exec_ok_but_rows_mismatch
bq088,both_miss,False,True,False,False,C0_anchor,C3_repaired,function_signature,exec_ok_but_rows_mismatch
bq089,both_miss,False,True,False,False,C0_anchor,C0_direct,unrecognized_column,exec_ok_but_rows_mismatch
bq407,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,table_or_dataset_not_found
bq137,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,function_signature,exec_ok_but_rows_mismatch
bq060,both_match,True,True,True,True,C0_anchor,C1_retrieval_docs,EX_MATCH,EX_MATCH
bq338,both_miss,False,True,False,False,C0_anchor,C0_direct,table_or_dataset_not_found,exec_ok_but_rows_mismatch
bq061,both_miss,False,True,False,False,C0_anchor,C3_repaired,unrecognized_column,exec_ok_but_rows_mismatch
bq064,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,permission_denied,unrecognized_column
bq461,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,other_bad_request
bq198,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq462,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,other_bad_request
bq427,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,unrecognized_column,function_signature
bq428,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,exec_ok_but_rows_mismatch
bq144,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,syntax_error,exec_ok_but_rows_mismatch
bq113,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,unrecognized_column
bq112,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,syntax_error
bq055,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,exec_ok_but_rows_mismatch
bq075,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,other_bad_request
bq406,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,unrecognized_column,exec_ok_but_rows_mismatch
bq022,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,aggregation_error,aggregation_error
bq362,both_miss,False,False,False,False,C0_anchor,C2_cte_decomp,other:InternalServerError,other:InternalServerError
bq363,both_miss,False,,False,False,C0_anchor,C0_direct,function_signature,function_signature
bq076,both_miss,False,True,False,False,C0_anchor,C0_direct,aggregation_error,exec_ok_but_rows_mismatch
bq077,helpful,True,True,False,True,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,EX_MATCH
bq109,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,permission_denied,permission_denied
bq090,both_miss,False,True,False,False,C0_anchor,C0_direct,function_signature,exec_ok_but_rows_mismatch
bq442,both_miss,True,True,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq079,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,table_or_dataset_not_found
bq024,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,unrecognized_column
bq220,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,other_bad_request
bq096,both_miss,False,False,False,False,C0_anchor,C1_retrieval_docs,other:InternalServerError,other:InternalServerError
bq277,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,permission_denied,other_bad_request
bq278,both_miss,True,True,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq102,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,parse_failure
bq445,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,parse_failure
bq103,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,unrecognized_column,exec_ok_but_rows_mismatch
bq105,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,table_or_dataset_not_found
bq108,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,exec_ok_but_rows_mismatch
bq067,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,unrecognized_column
bq396,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,unrecognized_column
bq441,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq097,both_miss,False,True,False,False,C0_anchor,C0_direct,unrecognized_column,exec_ok_but_rows_mismatch
bq120,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,table_or_dataset_not_found
bq110,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,other_bad_request
bq395,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq352,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,other_bad_request
bq074,both_miss,False,True,False,False,C0_anchor,C0_direct,unrecognized_column,exec_ok_but_rows_mismatch
bq066,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,permission_denied,unrecognized_column
bq114,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,table_or_dataset_not_found
bq116,both_miss,False,False,False,False,C0_anchor,C1_retrieval_docs,other:InternalServerError,other:InternalServerError
bq041,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,function_signature,syntax_error
bq123,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,function_signature,exec_ok_but_rows_mismatch
